Kunta;Vuosi;Kunta id;yht;a_asuminen;p_palvelut;y_yleiset_rakennukset;c_keskustatoiminnot;k_liikkeet_toimistot;t_teollisuus;v_virkistys;r_loma_ja_matkailualueet;l_liikenne;e_erityisalueet;s_suojelu;m_maa_metsatalous;v_vesialueet
Ylöjärvi;2019;980;40856;40440;0;1600;0;0;-1334;0;0;0;150;0;0;0
Kangasala;2020;211;82158;74746;3500;7036;0;25483;-30707;0;0;2100;0;0;0;0
Lempäälä;2020;418;30667;32619;0;17800;0;-1273;-18579;0;0;0;100;0;0;0
Nokia;2020;536;49256;38076;3300;2198;0;-1386;9368;0;-2600;300;0;0;0;0
Orivesi;2020;562;6867;13137;0;0;0;1261;-6717;0;0;0;-814;0;0;0
Pirkkala;2020;604;2497;2497;0;0;0;0;0;0;0;0;0;0;0;0
Tampere;2020;837;172049;213494;530;19986;21000;-65414;-8280;0;0;-9517;250;0;0;0
Vesilahti;2020;922;697;4270;0;-423;0;-3350;0;0;0;200;0;0;0;0
Ylöjärvi;2020;980;92792;15313;0;0;0;9879;67780;0;0;-390;210;0;0;0
Kangasala;2021;211;6610;11180;0;0;0;-3230;-1340;0;0;0;0;0;0;0
Lempäälä;2021;418;26029;29250;0;0;0;0;-3331;60;50;0;0;0;0;0
Nokia;2021;536;38233;3385;5296;8938;0;1298;-17200;150;0;0;36366;0;0;0
Orivesi;2021;562;6021;6021;0;0;0;0;0;0;0;0;0;0;0;0
Pirkkala;2021;604;20935;10300;0;10635;0;0;0;0;0;0;0;0;0;0
Tampere;2021;837;271608;283179;0;-21230;0;-117200;94419;30450;220;1300;470;0;0;0
Vesilahti;2021;922;64286;29081;0;-600;0;0;35005;650;0;100;50;0;0;0
Ylöjärvi;2021;980;3000;0;0;3000;0;0;0;0;0;0;0;0;0;0
