nro,kid,Nimi,vuosi,vero_pro,evlut_pro,orto_pro
245,747,Siikainen,2023,"9,36","1,80","2,00"
246,748,Siikajoki,2023,"9,36","1,90","2,10"
247,791,Siikalatva,2023,"9,11","1,90","2,10"
248,749,Siilinjärvi,2023,"9,36","1,25","2,00"
249,751,Simo,2023,"9,36","1,65","2,10"
250,753,Sipoo,2023,"6,61","1,35","1,80"
251,755,Siuntio,2023,"8,61","1,65","1,80"
252,758,Sodankylä,2023,"8,36","1,40","2,10"
253,759,Soini,2023,"9,11","1,80","2,00"
254,761,Somero,2023,"7,86","1,65","1,80"
255,762,Sonkajärvi,2023,"8,61","1,65","2,00"
256,765,Sotkamo,2023,"7,11","1,60","2,10"
257,766,Sottunga,2023,"18,00","2,00","1,75"
258,768,Sulkava,2023,"8,36","1,60","1,95"
259,771,Sund,2023,"19,50","1,95","1,75"
260,777,Suomussalmi,2023,"8,86","1,65","2,10"
261,778,Suonenjoki,2023,"9,11","1,60","2,00"
262,781,Sysmä,2023,"6,36","1,70","1,95"
263,783,Säkylä,2023,"8,86","1,80","1,75"
264,831,Taipalsaari,2023,"8,36","1,75","1,85"
265,832,Taivalkoski,2023,"7,86","1,65","2,10"
266,833,Taivassalo,2023,"6,86","1,70","1,75"
267,834,Tammela,2023,"8,61","1,70","1,80"
268,837,Tampere,2023,"7,61","1,25","2,00"
269,844,Tervo,2023,"8,86","1,80","2,00"
270,845,Tervola,2023,"7,36","1,75","2,10"
271,846,Teuva,2023,"9,86","1,75","2,00"
272,848,Tohmajärvi,2023,"9,11","1,95","2,00"
273,849,Toholampi,2023,"9,11","1,90","2,00"
274,850,Toivakka,2023,"8,36","1,95","1,95"
275,851,Tornio,2023,"8,36","1,45","2,10"
276,853,Turku,2023,"6,86","1,20","1,75"
277,857,Tuusniemi,2023,"9,36","1,45","2,00"
278,858,Tuusula,2023,"7,11","1,45","1,80"
279,859,Tyrnävä,2023,"9,36","1,80","2,10"
280,886,Ulvila,2023,"8,86","1,65","2,00"
281,887,Urjala,2023,"9,36","1,70","1,80"
282,889,Utajärvi,2023,"7,86","1,85","2,10"
283,890,Utsjoki,2023,"8,36","1,90","2,10"
284,892,Uurainen,2023,"8,86","1,95","1,95"
285,893,Uusikaarlepyy,2023,"8,61","1,90","2,00"
286,895,Uusikaupunki,2023,"8,11","1,50","1,75"
287,785,Vaala,2023,"8,36","1,85","2,10"
288,905,Vaasa,2023,"8,36","1,40","2,00"
289,908,Valkeakoski,2023,"7,61","1,60","2,00"
290,092,Vantaa,2023,"6,36","1,00","1,80"
291,915,Varkaus,2023,"8,36","1,40","1,95"
292,918,Vehmaa,2023,"9,61","1,85","1,75"
293,921,Vesanto,2023,"9,11","1,80","2,00"
294,922,Vesilahti,2023,"9,36","1,65","2,00"
295,924,Veteli,2023,"9,86","1,90","2,00"
296,925,Vieremä,2023,"8,36","1,80","2,00"
297,927,Vihti,2023,"7,86","1,45","1,80"
298,931,Viitasaari,2023,"8,36","1,80","1,95"
299,934,Vimpeli,2023,"9,61","1,70","2,00"
300,935,Virolahti,2023,"8,86","1,55","1,85"
301,936,Virrat,2023,"8,61","1,70","2,00"
302,941,Vårdö,2023,"19,00","1,95","1,75"
303,946,Vöyri,2023,"8,86","1,95","2,00"
304,976,Ylitornio,2023,"7,36","1,50","2,10"
305,977,Ylivieska,2023,"10,36","1,75","2,00"
306,980,Ylöjärvi,2023,"7,86","1,65","2,00"
307,981,Ypäjä,2023,"9,36","1,90","1,80"
308,989,Ähtäri,2023,"9,86","1,65","2,00"
309,992,Äänekoski,2023,"8,86","1,60","1,95"
310,020,Akaa,2022,"22,00","1,70","2,00"
311,005,Alajärvi,2022,"21,75","1,75","2,00"
312,009,Alavieska,2022,"22,00","1,80","2,10"
313,010,Alavus,2022,"21,25","1,75","2,00"
314,016,Asikkala,2022,"20,75","1,75","1,80"
315,018,Askola,2022,"21,50","1,75","1,80"
316,019,Aura,2022,"21,50","1,35","1,75"
317,035,Brändö,2022,"17,75","2,00","1,75"
318,043,Eckerö,2022,"19,00","1,80","1,75"
319,046,Enonkoski,2022,"21,00","1,60","1,95"
320,047,Enontekiö,2022,"21,25","1,75","2,10"
321,049,Espoo,2022,"18,00","1,00","1,80"
322,050,Eura,2022,"21,00","1,50","1,75"
323,051,Eurajoki,2022,"18,00","1,60","2,00"
324,052,Evijärvi,2022,"22,50","1,75","2,00"
325,060,Finström,2022,"19,50","1,95","1,75"
326,061,Forssa,2022,"20,50","1,40","1,80"
327,062,Föglö,2022,"17,50","2,00","1,75"
328,065,Geta,2022,"18,50","1,95","1,75"
329,069,Haapajärvi,2022,"22,50","1,75","2,00"
330,071,Haapavesi,2022,"22,00","1,80","2,00"
331,072,Hailuoto,2022,"20,50","1,80","2,10"
332,074,Halsua,2022,"23,50","1,70","2,00"
333,075,Hamina,2022,"21,00","1,60","1,85"
334,076,Hammarland,2022,"18,00","1,80","1,75"
335,077,Hankasalmi,2022,"22,00","1,95","2,00"
336,078,Hanko,2022,"21,75","1,60","1,80"
337,079,Harjavalta,2022,"21,50","1,75","1,75"
338,081,Hartola,2022,"21,50","1,75","1,95"
339,082,Hattula,2022,"20,75","1,50","1,80"
340,086,Hausjärvi,2022,"21,50","1,75","1,80"
341,111,Heinola,2022,"20,50","1,50","1,80"
342,090,Heinävesi,2022,"21,50","1,60","1,95"
343,091,Helsinki,2022,"18,00","1,00","1,80"
344,097,Hirvensalmi,2022,"20,00","1,75","1,95"
345,098,Hollola,2022,"21,00","1,75","1,80"
346,102,Huittinen,2022,"21,00","1,60","1,75"
347,103,Humppila,2022,"22,00","1,90","1,80"
348,105,Hyrynsalmi,2022,"21,75","1,75","2,10"
349,106,Hyvinkää,2022,"20,25","1,25","1,80"
350,108,Hämeenkyrö,2022,"22,00","1,70","2,00"
351,109,Hämeenlinna,2022,"21,00","1,30","1,80"
352,139,Ii,2022,"21,50","1,50","2,10"
353,140,Iisalmi,2022,"20,50","1,65","2,00"
354,142,Iitti,2022,"21,25","1,65","1,80"
355,143,Ikaalinen,2022,"22,00","1,85","2,00"
356,145,Ilmajoki,2022,"21,00","1,75","2,00"
357,146,Ilomantsi,2022,"21,00","1,60","2,00"
358,153,Imatra,2022,"20,00","1,65","1,85"
359,148,Inari,2022,"19,00","1,90","2,10"
360,149,Inkoo,2022,"20,75","1,75","1,80"
361,151,Isojoki,2022,"22,50","1,75","2,00"
362,152,Isokyrö,2022,"21,50","1,75","2,00"
363,165,Janakkala,2022,"21,00","1,65","1,80"
364,167,Joensuu,2022,"20,50","1,55","2,00"
365,169,Jokioinen,2022,"21,25","1,85","1,80"
366,170,Jomala,2022,"16,50","1,70","1,75"
367,171,Joroinen,2022,"21,25","1,70","1,95"
368,172,Joutsa,2022,"21,00","2,00","1,95"
369,176,Juuka,2022,"20,75","1,70","1,85"
370,177,Juupajoki,2022,"21,00","1,75","2,00"
371,178,Juva,2022,"20,75","1,65","1,95"
372,179,Jyväskylä,2022,"20,00","1,45","1,95"
373,181,Jämijärvi,2022,"22,50","1,80","2,00"
374,182,Jämsä,2022,"21,00","1,60","2,00"
375,186,Järvenpää,2022,"20,25","1,25","1,80"
376,202,Kaarina,2022,"20,25","1,25","1,75"
377,204,Kaavi,2022,"22,00","1,50","2,00"
378,205,Kajaani,2022,"21,00","1,65","2,10"
379,208,Kalajoki,2022,"21,00","1,75","2,10"
380,211,Kangasala,2022,"21,00","1,40","2,00"
381,213,Kangasniemi,2022,"21,50","1,70","1,95"
382,214,Kankaanpää,2022,"21,75","1,80","2,00"
383,216,Kannonkoski,2022,"21,50","1,75","1,95"
384,217,Kannus,2022,"21,50","1,60","2,00"
385,218,Karijoki,2022,"22,50","2,00","2,00"
386,224,Karkkila,2022,"21,25","1,50","1,80"
387,226,Karstula,2022,"21,50","1,75","1,95"
388,230,Karvia,2022,"20,50","1,95","2,00"
389,231,Kaskinen,2022,"23,00","1,85","2,00"
390,232,Kauhajoki,2022,"22,00","1,90","2,00"
391,233,Kauhava,2022,"21,75","1,75","2,00"
392,235,Kauniainen,2022,"17,00","1,00","1,80"
393,236,Kaustinen,2022,"22,00","1,70","2,00"
394,239,Keitele,2022,"20,50","1,65","2,00"
395,240,Kemi,2022,"21,75","1,50","2,10"
396,320,Kemijärvi,2022,"21,50","1,75","2,10"
397,241,Keminmaa,2022,"21,25","1,40","2,10"
398,322,Kemiönsaari,2022,"19,75","2,00","1,75"
399,244,Kempele,2022,"20,50","1,45","2,10"
400,245,Kerava,2022,"19,25","1,25","1,80"
401,249,Keuruu,2022,"21,75","1,80","1,95"
402,250,Kihniö,2022,"21,50","2,00","2,00"
403,256,Kinnula,2022,"21,50","1,85","1,95"
404,257,Kirkkonummi,2022,"19,75","1,25","1,80"
405,260,Kitee,2022,"20,75","1,80","2,00"
406,261,Kittilä,2022,"20,25","1,60","2,10"
407,263,Kiuruvesi,2022,"21,75","1,50","2,00"
408,265,Kivijärvi,2022,"21,75","1,75","1,95"
409,271,Kokemäki,2022,"21,75","1,75","1,75"
410,272,Kokkola,2022,"21,50","1,70","2,00"
411,273,Kolari,2022,"20,50","1,60","2,10"
412,275,Konnevesi,2022,"22,00","1,75","2,00"
413,276,Kontiolahti,2022,"20,50","1,50","2,00"
414,280,Korsnäs,2022,"22,00","1,85","2,00"
415,284,Koski Tl,2022,"20,00","1,90","1,75"
416,285,Kotka,2022,"22,00","1,50","1,85"
417,286,Kouvola,2022,"21,25","1,60","1,85"
418,287,Kristiinankaupunki,2022,"21,50","2,00","2,00"
419,288,Kruunupyy,2022,"22,00","2,00","2,00"
420,290,Kuhmo,2022,"22,00","1,75","2,10"
421,291,Kuhmoinen,2022,"21,75","1,75","2,00"
422,295,Kumlinge,2022,"18,50","2,00","1,75"
423,297,Kuopio,2022,"20,75","1,50","2,00"
424,300,Kuortane,2022,"21,00","1,85","2,00"
425,301,Kurikka,2022,"21,00","1,75","2,00"
426,304,Kustavi,2022,"18,00","1,85","1,75"
427,305,Kuusamo,2022,"20,00","1,60","2,10"
428,312,Kyyjärvi,2022,"22,50","1,75","1,95"
429,316,Kärkölä,2022,"22,00","1,75","1,80"
430,317,Kärsämäki,2022,"21,50","1,80","2,00"
431,318,Kökar,2022,"19,75","2,00","1,75"
432,398,Lahti,2022,"20,75","1,50","1,80"
433,399,Laihia,2022,"21,75","1,50","2,00"
434,400,Laitila,2022,"20,75","1,60","1,75"
435,407,Lapinjärvi,2022,"21,50","1,65","1,85"
436,402,Lapinlahti,2022,"21,25","1,65","2,00"
437,403,Lappajärvi,2022,"22,00","1,90","2,00"
438,405,Lappeenranta,2022,"21,00","1,45","1,85"
439,408,Lapua,2022,"21,50","1,75","2,00"
440,410,Laukaa,2022,"21,50","1,75","1,95"
441,416,Lemi,2022,"22,00","1,75","1,85"
442,417,Lemland,2022,"17,50","1,70","1,75"
443,418,Lempäälä,2022,"20,50","1,45","2,00"
444,420,Leppävirta,2022,"21,00","1,65","1,95"
445,421,Lestijärvi,2022,"21,00","2,00","2,00"
446,422,Lieksa,2022,"21,00","1,60","2,00"
447,423,Lieto,2022,"19,50","1,35","1,75"
448,425,Liminka,2022,"21,50","1,70","2,10"
449,426,Liperi,2022,"21,50","1,60","1,85"
450,444,Lohja,2022,"20,50","1,50","1,80"
451,430,Loimaa,2022,"21,00","1,60","1,75"
452,433,Loppi,2022,"21,50","1,75","1,80"
453,434,Loviisa,2022,"20,25","1,65","1,85"
454,435,Luhanka,2022,"18,50","2,00","1,95"
455,436,Lumijoki,2022,"21,00","1,95","2,10"
456,438,Lumparland,2022,"19,50","1,70","1,75"
457,440,Luoto,2022,"20,00","1,90","2,00"
458,441,Luumäki,2022,"21,00","1,70","1,85"
459,475,Maalahti,2022,"21,50","1,90","2,00"
460,478,Maarianhamina,2022,"17,00","1,55","1,75"
461,480,Marttila,2022,"20,75","1,90","1,75"
462,481,Masku,2022,"20,75","1,60","1,75"
463,483,Merijärvi,2022,"22,50","1,75","2,10"
464,484,Merikarvia,2022,"20,50","1,90","2,00"
465,489,Miehikkälä,2022,"21,50","1,60","1,85"
466,491,Mikkeli,2022,"22,00","1,50","1,95"
467,494,Muhos,2022,"22,00","1,60","2,10"
468,495,Multia,2022,"22,00","1,80","1,95"
469,498,Muonio,2022,"21,50","1,75","2,10"
470,499,Mustasaari,2022,"20,75","1,85","2,00"
471,500,Muurame,2022,"19,50","1,55","1,95"
472,503,Mynämäki,2022,"21,25","1,75","1,75"
473,504,Myrskylä,2022,"21,50","1,85","1,85"
474,505,Mäntsälä,2022,"21,00","1,25","1,80"
475,508,Mänttä-Vilppula,2022,"22,50","1,80","2,00"
476,507,Mäntyharju,2022,"20,75","1,90","1,95"
477,529,Naantali,2022,"19,00","1,35","1,75"
478,531,Nakkila,2022,"21,75","1,75","2,00"
479,535,Nivala,2022,"22,00","1,75","2,00"
480,536,Nokia,2022,"21,00","1,60","2,00"
481,538,Nousiainen,2022,"21,50","1,55","1,75"
482,541,Nurmes,2022,"21,00","1,75","1,85"
483,543,Nurmijärvi,2022,"19,75","1,45","1,80"
484,545,Närpiö,2022,"21,00","1,50","2,00"
485,560,Orimattila,2022,"21,25","1,80","1,80"
486,561,Oripää,2022,"21,00","1,75","1,75"
487,562,Orivesi,2022,"22,00","1,75","2,00"
488,563,Oulainen,2022,"22,00","1,75","2,10"
489,564,Oulu,2022,"20,50","1,30","2,10"
490,309,Outokumpu,2022,"21,50","1,65","1,85"
491,576,Padasjoki,2022,"21,00","1,75","1,80"
492,577,Paimio,2022,"20,75","1,50","1,75"
493,578,Paltamo,2022,"22,00","1,75","2,10"
494,445,Parainen,2022,"20,50","1,50","1,75"
495,580,Parikkala,2022,"21,50","1,75","1,85"
496,581,Parkano,2022,"22,00","1,75","2,00"
497,599,Pedersören kunta,2022,"21,00","1,80","2,00"
498,583,Pelkosenniemi,2022,"22,00","1,95","2,10"
499,854,Pello,2022,"21,25","1,60","2,10"
500,584,Perho,2022,"21,50","1,90","2,00"
501,588,Pertunmaa,2022,"21,50","1,90","1,95"
502,592,Petäjävesi,2022,"21,75","1,90","1,95"
503,593,Pieksämäki,2022,"22,00","1,50","1,95"
504,595,Pielavesi,2022,"21,75","1,65","2,00"
505,598,Pietarsaari,2022,"21,25","1,80","2,00"
